date,npm_last_day,npm_last_week,stars,forks,watchers,clones_14d,clones_uniques_14d,views_14d,views_uniques_14d
2026-06-04,12,359,0,0,0,0,0,0,0
2026-06-05,12,359,0,0,0,0,0,0,0
2026-06-06,12,359,0,0,0,0,0,0,0
2026-06-07,12,359,0,0,0,0,0,0,0
2026-06-08,12,359,0,0,0,0,0,0,0
2026-06-09,12,359,0,0,0,0,0,0,0
2026-06-10,12,359,0,0,0,0,0,0,0
2026-06-11,12,359,0,0,0,0,0,0,0
2026-06-12,9,187,0,0,0,0,0,0,0
2026-06-13,2,65,0,0,0,0,0,0,0
2026-06-14,0,46,0,0,0,0,0,0,0
2026-06-15,1,35,0,0,0,0,0,0,0
2026-06-16,0,32,0,0,0,0,0,0,0
2026-06-17,4,20,0,0,0,0,0,0,0
2026-06-18,0,16,0,0,0,0,0,0,0
2026-06-19,1,8,0,0,0,0,0,0,0
2026-06-20,2,8,0,0,0,0,0,0,0
2026-06-21,4,12,0,0,0,0,0,0,0
2026-06-22,249,260,0,0,0,0,0,0,0
2026-06-23,406,666,0,0,0,0,0,0,0
2026-06-24,491,1153,0,0,0,0,0,0,0
2026-06-25,437,1590,0,0,0,0,0,0,0
2026-06-26,437,1590,0,0,0,0,0,0,0
